month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2019-07-31,1277,GE,10,89,20668,1,3,6,0.3,0.6,5,2,3,0.5,0.2,4893.55,315296.0,0.0
2019-08-31,1308,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-08-31,1308,ZH,28,1128,10296310692,2,15,11,0.5357142857142857,0.3928571428571428,14,10,4,0.5,0.3571428571428571,4356.0,972784.0,0.0
2019-08-31,1308,GE,10,89,20668,1,3,6,0.3,0.6,5,2,3,0.5,0.2,4893.55,315296.0,0.0
2019-09-30,1338,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-09-30,1338,ZH,28,1128,10296310692,2,15,11,0.5357142857142857,0.3928571428571428,14,10,4,0.5,0.3571428571428571,4356.0,972784.0,0.0
2019-09-30,1338,GE,10,89,20668,1,3,6,0.3,0.6,5,2,3,0.5,0.2,4893.55,315296.0,0.0
2019-10-31,1369,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-10-31,1369,ZH,28,1128,10296310692,2,15,11,0.5357142857142857,0.3928571428571428,14,10,4,0.5,0.3571428571428571,4356.0,972784.0,0.0
2019-10-31,1369,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,4893.55,315296.0,0.0
2019-11-30,1399,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-11-30,1399,ZH,29,1136,10296311970,2,16,11,0.5517241379310345,0.3793103448275862,14,11,4,0.4827586206896552,0.3793103448275862,4356.0,972784.0,0.0
2019-11-30,1399,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,4893.55,315296.0,0.0
2019-12-31,1430,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-12-31,1430,ZH,30,1137,10296312013,2,16,12,0.5333333333333333,0.4,14,12,4,0.4666666666666667,0.4,4356.0,972784.0,0.0
2019-12-31,1430,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,4893.55,315296.0,0.0
2020-01-31,1461,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2848.8,80234.0,0.0
2020-01-31,1461,ZH,32,1137,10296323986,2,16,14,0.5,0.4375,15,12,5,0.46875,0.375,4356.0,980693.0,0.0
2020-01-31,1461,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-02-29,1490,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2848.8,80234.0,0.0
2020-02-29,1490,ZH,32,1137,10296323986,2,16,14,0.5,0.4375,15,12,5,0.46875,0.375,4356.0,980693.0,0.0
2020-02-29,1490,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-03-31,1521,ZG,71,1432,203269884,3,52,16,0.7323943661971831,0.2253521126760563,30,30,10,0.4225352112676056,0.4225352112676056,2848.8,80234.0,0.0
2020-03-31,1521,ZH,32,1137,10296323986,2,16,14,0.5,0.4375,15,12,5,0.46875,0.375,4356.0,980693.0,0.0
2020-03-31,1521,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-04-30,1551,ZG,72,1435,203269930,3,53,16,0.7361111111111112,0.2222222222222222,31,30,10,0.4305555555555556,0.4166666666666667,2848.8,80234.0,0.0
2020-04-30,1551,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-04-30,1551,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-05-31,1582,ZG,72,1435,203269930,3,53,16,0.7361111111111112,0.2222222222222222,31,30,10,0.4305555555555556,0.4166666666666667,2848.8,80234.0,0.0
2020-05-31,1582,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-05-31,1582,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-06-30,1612,ZG,75,1553,203285629,5,54,16,0.72,0.2133333333333333,32,32,10,0.4266666666666667,0.4266666666666667,2848.8,80234.0,0.0
2020-06-30,1612,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-06-30,1612,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-07-31,1643,ZG,76,1553,203285629,5,54,17,0.7105263157894737,0.2236842105263158,32,32,10,0.4210526315789473,0.4210526315789473,2848.8,80234.0,0.0
2020-07-31,1643,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-07-31,1643,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-08-31,1674,ZG,77,1555,203285858,5,54,18,0.7012987012987013,0.2337662337662337,33,32,10,0.4285714285714285,0.4155844155844156,2848.8,80234.0,0.0
2020-08-31,1674,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-08-31,1674,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-09-30,1704,ZG,77,1555,203285858,5,54,18,0.7012987012987013,0.2337662337662337,33,32,10,0.4285714285714285,0.4155844155844156,2848.8,80234.0,0.0
2020-09-30,1704,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-09-30,1704,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-10-31,1735,ZG,78,1578,203589552,6,54,18,0.6923076923076923,0.2307692307692307,33,33,10,0.4230769230769231,0.4230769230769231,2848.8,80234.0,0.0
2020-10-31,1735,ZH,33,1232,10296326366,2,16,15,0.4848484848484848,0.4545454545454545,15,13,5,0.4545454545454545,0.3939393939393939,4356.0,980693.0,0.0
2020-10-31,1735,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-11-30,1765,ZG,80,1586,203589954,6,56,18,0.7,0.225,34,33,11,0.425,0.4125,2848.8,80234.0,0.0
