,month,canton,companies,tax burden,working population,share of financial sector,share of IT sector,treatment
377,2017-03-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
378,2017-03-31,AR,0,3390.0,33438.0,,,0.0
379,2017-03-31,AI,0,2838.0,9613.0,,,0.0
380,2017-03-31,SG,0,3476.0,309810.0,,,0.0
381,2017-03-31,GR,0,3602.0,120638.0,,,0.0
382,2017-03-31,AG,0,3021.2,418619.0,,,0.0
383,2017-03-31,TG,0,3286.0,170831.0,,,0.0
384,2017-03-31,TI,0,4365.42,210041.0,,,0.0
385,2017-03-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
386,2017-03-31,VS,0,2812.5,207639.0,,,0.0
387,2017-03-31,NE,0,3126.0,106567.0,,,0.0
388,2017-03-31,GE,0,4892.0,309359.0,,,0.0
389,2017-03-31,JU,0,4408.6,42657.0,,,0.0
390,2017-04-30,ZG,12,2361.0,79087.0,0.33,0.42,0.0
391,2017-04-30,ZH,7,4356.0,952121.0,0.29,0.71,0.0
392,2017-04-30,BE,0,3180.9,622668.0,,,0.0
393,2017-04-30,LU,0,2629.7,252896.0,,,0.0
394,2017-04-30,UR,0,2990.19,21656.0,,,0.0
395,2017-04-30,SZ,0,3063.45,99111.0,,,0.0
396,2017-04-30,OW,1,2726.3,23079.0,1.0,0.0,0.0
397,2017-04-30,NW,0,2541.0,26620.0,,,0.0
398,2017-04-30,GL,0,3362.0,24631.0,,,0.0
399,2017-04-30,FR,0,3103.05,195404.0,,,0.0
400,2017-04-30,SO,0,3273.2,167169.0,,,0.0
401,2017-04-30,BS,0,4857.0,122052.0,,,0.0
402,2017-04-30,BL,0,3542.0,169687.0,,,0.0
403,2017-04-30,SH,1,3364.0,48973.0,0.0,0.0,0.0
404,2017-04-30,AR,0,3390.0,33438.0,,,0.0
405,2017-04-30,AI,0,2838.0,9613.0,,,0.0
406,2017-04-30,SG,0,3476.0,309810.0,,,0.0
407,2017-04-30,GR,0,3602.0,120638.0,,,0.0
408,2017-04-30,AG,0,3021.2,418619.0,,,0.0
409,2017-04-30,TG,0,3286.0,170831.0,,,0.0
410,2017-04-30,TI,1,4365.42,210041.0,0.0,0.0,0.0
